"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2016-01-31,276215,"Blossom Valley","CA","San Jose","Santa Clara","San Jose",76,760300,0.00489029870473169,0.0175321199143469,0.0964811075858091,0.103427425880942,0.0120161148062679,"2016-01","2016-Q1",760300,0,"2016-01"
2016-01-31,403169,"West Rogers Park","IL","Chicago","Cook","Chicago",77,167400,0.0108695652173913,0.032059186189889,0.032059186189889,-0.0108671199824922,-0.0382700660287564,"2006-06","2006-Q2",254500,-0.342239685658153,"2001-06"
2016-01-31,18071,"Far Rockaway","NY","New York","Queens","New York",78,383100,0.0100184550487741,0.00709779179810726,0.00445726271630834,0.0252451175234183,-0.00413313124101666,"2006-11","2006-Q4",437000,-0.123340961098398,"2005-10"
2016-01-31,273348,"Cordova-Appling","TN","Memphis","Shelby","Memphis",79,134500,0.00298284862043251,0.0143288084464555,0.0450660450660451,0.00776112600424228,-0.0100530194976047,"2007-03","2007-Q1",153000,-0.120915032679739,"1999-10"
2016-01-31,403553,"Eldridge - West Oaks","TX","Houston","Harris","Houston",80,237400,-0.00710999581764952,-0.0157545605306799,0.117702448210923,0.0549336789048036,0.0367362202238053,"2015-08","2015-Q3",244100,-0.0274477673084801,"2015-06"
2016-01-31,275173,"Ridgewood","NY","New York","Queens","New York",81,551300,0.0034583181652712,0.0132328616063224,0.106583701324769,0.0702011621385887,0.0322151863422329,"2016-01","2016-Q1",551300,0,"2016-01"
2016-01-31,273973,"Hickory Ridge-South Riverdale","TN","Memphis","Shelby","Memphis",82,85900,0.00116550116550117,0.00350467289719626,0.0514075887392901,0.0166309710003059,-0.021174773432621,"2007-04","2007-Q2",111000,-0.226126126126126,"1998-10"
2016-01-31,45032,"East Elmhurst","NY","New York","Queens","New York",83,590900,0.0112955673455417,0.0341267063353168,0.117647058823529,0.0559911907087967,0.0115679645237396,"2007-04","2007-Q2",601600,-0.0177859042553191,"2006-11"
2016-01-31,40548,"Reseda","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles","Los Angeles",84,446200,0.00904568068747173,0.0264550264550265,0.0785593425187334,0.0801253878949373,-0.015680664970775,"2006-06","2006-Q2",537100,-0.169242226773413,"2005-04"
2016-01-31,13176,"Panorama City","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles","Los Angeles",85,378000,0.00692594565796484,0.0183189655172414,0.0671936758893281,0.086549318560879,-0.0225831560229679,"2006-08","2006-Q3",495400,-0.236980218005652,"2004-12"
2016-01-31,114074,"Cambrian Park","CA","San Jose","Santa Clara","San Jose",86,983100,0.00779087647360328,0.0297475646800042,0.156316160903317,0.102404348031565,0.0310789294451197,"2016-01","2016-Q1",983100,0,"2016-01"
2016-01-31,275424,"South Dorchester","MA","Boston","Suffolk","Boston",87,379800,0.00237529691211401,0.00903294367693943,0.0647603027754416,0.0667828964694701,0.00751589403523045,"2016-01","2016-Q1",379800,0,"2016-01"
2016-01-31,271326,"Central Southwest","TX","Houston","Harris","Houston",88,108800,0.00647548566142461,0.00276497695852535,0.00647548566142461,0.0321020395664686,0.00846978219363015,"2013-06","2013-Q2",122600,-0.112561174551387,"2013-03"
2016-01-31,13017,"North Hills","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles","Los Angeles",89,479000,0.00524658971668416,0.0174171622769754,0.0675284154223312,0.0665990873197795,-0.0149024677192841,"2006-05","2006-Q2",564300,-0.151160730108099,"2005-04"
2016-01-31,274526,"Midtown","TN","Memphis","Shelby","Memphis",90,53300,0.0018796992481203,0,-0.0111317254174397,-0.017098007785158,-0.0266093312371789,"2007-03","2007-Q1",72900,-0.268861454046639,"1998-09"
2016-01-31,246678,"Princess Anne","VA","Virginia Beach","Virginia Beach City","Virginia Beach",91,305100,0.000327868852459016,0.000655952771400459,0.0234820530023482,0.0179005727630492,-0.00635976910865754,"2006-06","2006-Q2",331200,-0.078804347826087,"2005-08"
2016-01-31,275471,"Southeast Colorado Springs","CO","Colorado Springs","El Paso","Colorado Springs",92,152300,0.003955174686882,0.0160106737825217,0.090974212034384,0.0399659375353174,0.00471625562125744,"2016-01","2016-Q1",152300,0,"2016-01"
2016-01-31,343868,"Northwest Raleigh","NC","Raleigh","Wake","Raleigh",93,258800,0.00582977069568597,0.015300117693213,0.0443906376109766,0.0301321471723894,0.0200029499417511,"2016-01","2016-Q1",258800,0,"2016-01"
2016-01-31,273167,"Cedar Crest","TX","Dallas-Fort Worth","Dallas","Dallas",94,56900,0.0160714285714286,0.0675422138836773,0.140280561122244,0.0626068107938005,-0.0118442009098266,"2007-05","2007-Q2",66900,-0.149476831091181,"2004-01"
2016-01-31,403542,"Kingwood Area","TX","Houston","Harris","Houston",95,216600,0.00370713623725672,0.0188146754468485,0.0797607178464606,0.0486585863797977,0.0319180220677806,"2016-01","2016-Q1",216600,0,"2016-01"
2016-01-31,48516,"Wilmington","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles","Los Angeles",96,376600,0,0.00399893361770195,0.0219810040705563,0.0786630317160755,-0.0181060573232589,"2006-09","2006-Q3",502100,-0.249950209121689,"2005-03"
2016-01-31,273652,"Estrella","AZ","Phoenix","Maricopa","Phoenix",97,157600,0.00446144040790312,0.0227125243348475,0.108298171589311,0.148698354997035,-0.0372636409662761,"2006-07","2006-Q3",234600,-0.328218243819267,"2004-11"
2016-01-31,270886,"Midwood","NY","New York","Kings","New York",98,723300,0.000276586917438805,0.00654049540773727,0.0614910478426769,0.0521341589109878,0.0111476503438159,"2016-01","2016-Q1",723300,0,"2016-01"
2016-01-31,232166,"Clear Lake","TX","Houston","Harris","Houston",99,188800,-0.00474433315761729,-0.00158646218931782,0.0684776457272213,0.0354753419824463,0.0210475874694125,"2015-12","2015-Q4",189700,-0.00474433315761729,"2015-10"
2016-01-31,214232,"Oxford Circle","PA","Philadelphia","Philadelphia","Philadelphia",100,111300,-0.00713648528099911,-0.0132978723404255,-0.00179372197309417,-0.0106147910572897,-0.0302369699531083,"2006-05","2006-Q2",151800,-0.266798418972332,"2004-11"
2016-01-31,274415,"Flatlands","NY","New York","Kings","New York",101,425700,0.00543221539914974,0.0152635344621989,0.045175546280383,0.0197724362339404,0.00221129492363414,"2007-11","2007-Q4",484400,-0.121180842279108,"2006-03"
2016-01-31,273540,"East Colorado Springs","CO","Colorado Springs","El Paso","Colorado Springs",102,190900,0.00420831141504471,0.017590618336887,0.0541137493097736,0.0401404213452181,0.00758864876423693,"2016-01","2016-Q1",190900,0,"2016-01"
